,Year,County,Industry.sector,Chemical,Clean.air.act.chemical,Classification,Metal,Metal.category,Carcinogen,PFAS,Fugitive.air.emissions,Stack.air.emissions,Surface.water.discharges,Class.1.well.injections,Class.2.well.injections,RCRA.landfill,non-RCRA.landfill,Land.treatment.application.farming,RCRA.surface.impoundment,non-RCRA.surface.impoundment,non.landfill.land.treatment.surface.impoundment.disposal,Onsite.total.release,POTW.transfers.for.release.disposal.,POTW.transfers.for.treatment,POTW.total.transfers,transfer.for.storage.only,transfer.for.solidification,transfer.of.wastewater.treatment,transfer.of.m40.metal,transfer.of.m61.metal,transfer.for.underground.injection,transfer.for.class1.injection,transfer.for.class2.injection,transfer.for.landfills.surface.impoundments,transfer.for RCRA.subtitle3.surface.impoundments,transfer.of.other.surface.impoundments,transfer.to.other.landfills,transfer.to.RCRA.subtitle3.landfills,transfer.for.land.treatment,transfer.for.land.disposal,transfer.for.other.offsite.management,transfer.to.waste.broker,unknown.transfer,offsite.release.total,transfer.of.solvents/organics,transfer.for.metals.recovery,transfer.for.other.recovery/reuse,transfer.for.acid.regeneration,transfer.to.waste.broker,off.site.recycled.total,transfer.for.energy.recover,transfer.to.waste.broker/energy.recovery,offsite.energy.recovery.total,non-metal.solidification/stabilization,transfer.for.incineration/thermal.treatment,transfer.for.incineration/insignificant.fuel.value,transfer.of.m61.non.metal,transfer.for.other.waste.treatment,transfer.to.waste.broker/waste.treatment,offsite.treated.total,total.quantity.of.unclassified,total.offsite.transfer.quantity,on.site.and.off.site.total.releases,some.other.total.releases,onsite.contained.releases,onsite.other.releases,offsite.contained.releases,offsite.other.releases,energy.recovery.onsite,energy.recovery.offsite,recycling.onsite.,recycling.offsite,treatment.onsite,treatment.offsite,production.waste,one.time.release,production.ratio.or.activity.index,production.ratio
22,2014,ERIE,Chemicals,Xylene (mixed isomers),YES,TRI,NO,0,NO,NO,2,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,16,NA,PRODUCTION,0.95
23,2014,ERIE,Chemicals,Certain glycol ethers,YES,TRI,NO,0,NO,NO,4,36,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,86,0,0,0,126,NA,PRODUCTION,0.95
24,2014,ALBANY,Nonmetallic Mineral Product,Freon 113 (CFC-113),NO,TRI,NO,0,NO,NO,1.56,0.26,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,3.05,0,0,0,0,1.7,4.41,0,0,0,6.11,0,9.16,1.82,0,0,1.82,0,0,11265,0,0,3.05,0,6.11,11275.98,NA,PRODUCTION,1.01
25,2014,ALBANY,Nonmetallic Mineral Product,Xylene (mixed isomers),YES,TRI,NO,0,NO,NO,196.07,32.58,0,0,0,0,0,0,0,0,0,228.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.72,0,0,0,0,382.72,0,0,0,0,213.15,554.66,0,0,0,767.81,0,1150.53,228.65,0,0,228.65,0,0,1415353,0,0,382.72,0,767.81,1416732.18,NA,PRODUCTION,1.01
26,2014,BRONX,Petroleum Bulk Terminals,n-Hexane,YES,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA
27,2014,NIAGARA,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",YES,TRI,NO,0,NO,NO,0,2222,0,0,0,0,0,0,0,0,0,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222,0,0,2222,0,0,0,0,0,0,0,0,2222,NA,PRODUCTION,0.81
28,2014,ERIE,Nonmetallic Mineral Product,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,TRI,NO,0,NO,NO,0,0,0,0,0,0,0,0,0,2335,0,2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,0,2335,0,0,0,0,0,0,0,0,2335,NA,PRODUCTION,1.02
29,2014,NIAGARA,Chemicals,Certain glycol ethers,YES,TRI,NO,0,NO,NO,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,NA,PRODUCTION,1
30,2014,ORANGE,Primary Metals,Zinc (fume or dust),NO,TRI,NO,4,NO,NO,10,22,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15960,0,0,15960,0,0,0,0,0,0,0,0,0,0,0,15960,32,0,0,32,0,0,0,0,0,15960,0,0,15992,NA,PRODUCTION,0.94
31,2014,ORANGE,Primary Metals,Zinc compounds,NO,TRI,YES,1,NO,NO,16,12,16,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63660,0,0,0,63660,0,0,0,0,0,0,0,0,0,0,0,63660,44,0,0,44,0,0,0,0,0,63660,0,0,63704,NA,PRODUCTION,0.94
